Name of Player,Country Code,Discipline,Latitude,Longitude
SHYMANOVICH Ilya,BELARUS,Swimming,53.709807,27.953389
SHYNKARENKO Alina,UKRAINE,Artistic Swimming,48.379433,31.16558
SIAME Sydney,ZAMBIA,Athletics,-13.133897,27.849332
SIAMFUKO Esther,ZAMBIA,Football,-13.133897,27.849332
SIBILIO Alessandro,ITALY,Athletics,41.87194,12.56738
SICHENIKOVA Lidiia,UKRAINE,Archery,48.379433,31.16558
SID AZARA Bachir,ALGERIA,Wrestling,28.033886,1.659626
SIDAKOV Zaurbek,ROC,Wrestling,-22.95764,18.49041
SIDDIQUE Diya,BANGLADESH,Archery,23.684994,90.356331
SIDISKIS Arnas,LITHUANIA,Weightlifting,55.169438,23.881275
SIDLAUSKAS Andrius,LITHUANIA,Swimming,55.169438,23.881275
SIDOROVA Anzhelika,ROC,Athletics,-22.95764,18.49041
SIEGEMUND Laura,GERMANY,Tennis,51.165691,10.451526
SIEGENTHALER Maja,SWITZERLAND,Sailing,46.818188,8.227512
SIEGL Lea,AUSTRIA,Equestrian,47.516231,14.550072
SIERRA CANADILLA Arlenis,CUBA,Cycling Road,21.521757,-77.781167
SIGNAL Megan Ann,NEW ZEALAND,Weightlifting,-40.900557,174.885971
SIGURGEIRSSON Asgeir,ICELAND,Shooting,64.963051,-19.020835
SIKLOSI Gergely,HUNGARY,Fencing,47.162494,19.503304
SILADI Caba,SERBIA,Swimming,44.016521,21.005859
SILENO Megan,SOUTH AFRICA,Water Polo,-30.559482,22.937506
SILKINA Volha,BELARUS,Modern Pentathlon,53.709807,27.953389
SILVA Beatriz,BRAZIL,Rhythmic Gymnastics,-14.235004,-51.92528
SILVA Bianca,BRAZIL,Rugby Sevens,-14.235004,-51.92528
SILVA CARNEIRO Macris Fernanda,BRAZIL,Volleyball,-14.235004,-51.92528
SILVA Emanuel,PORTUGAL,Canoe Sprint,39.399872,-8.224454
SILVA Fabiana,BRAZIL,Badminton,-14.235004,-51.92528
SILVA Joao Pedro,BRAZIL,Handball,-14.235004,-51.92528
SILVA Joao,PORTUGAL,Triathlon,39.399872,-8.224454
SILVA MARINHO Tiffani,BRAZIL,Athletics,-14.235004,-51.92528
SILVA MORALES Ivan Felipe,CUBA,Judo,21.521757,-77.781167
SILVA RAMOS Ana Patricia,BRAZIL,Beach Volleyball,-14.235004,-51.92528
SILVA Rafael,BRAZIL,Judo,-14.235004,-51.92528
SILVA Rebecca,BRAZIL,Beach Volleyball,-14.235004,-51.92528
